Number of Video Inputs,CPU Utilization (%),GPU Utilization (%)
0,5.843300665437967,53.06450358639595
1,6.30168151540129,53.297117086274596
2,7.078606437876798,53.41451118631959
3,8.072621278649104,53.165587558248916
4,9.298133026812263,52.73870679203104
5,10.777931827646832,52.584407924376734
6,12.433514986723766,52.93459946417968
7,14.090933323827876,53.564396059048065
8,15.584122787081704,54.01253584853956
9,16.90314596868667,53.97866992426566
10,18.27170800511262,53.53033359603838
11,20.008813612594047,52.999719334216934
12,22.25368515554434,52.7203219647031
13,24.816268820820703,52.821797233257826
14,27.274300837632897,53.188891468091235
15,29.22692491098278,53.56217957699553
16,30.546243949221747,53.70937891998641
17,31.442219823999203,53.572300589502944
18,32.239376325972884,53.30422531408303
19,33.097151805603374,53.18246050020876
20,34.032974104520896,53.419224352007106
21,35.149517344504325,53.963861479296014
22,36.63675307518044,54.50411600297137
23,38.53326057224863,54.74524901106294
24,40.64759185314236,54.695097814778705
25,42.737678664221704,54.61653362830505
26,44.64972353931499,54.71619856031338
27,46.339653422872274,54.97395878314022
28,47.90463069420506,55.27676649413009
29,49.533257431284774,55.56571508953585
30,51.31000438718007,55.771308643491736
31,53.10534037114283,55.730743709371446
32,54.712957463147994,55.33121375540262
33,56.075279437296444,54.72369314071699
34,57.36458345533579,54.275203912332806
35,58.84839074284697,54.24843017210554
36,60.64746607248394,54.56007489169298
37,62.607471862877375,54.886259064578326
38,64.45269692345121,54.96577127906541
39,66.06195221599063,54.77235682501259
40,67.52416271123846,54.4643991794013
41,68.92076470593898,54.23474912808996
42,70.13730691347314,54.1944682864045
43,70.96303194482007,54.358146171403575
44,71.33601666669212,54.685437949225815
45,71.40344458868877,55.09504806356861
46,71.35960157931542,55.465694042616875
47,71.31834970202301,55.68149551829188
