Number of Video Inputs,Latency (ms)
0,146.21473921024406
1,222.12634083532447
2,222.90639870268672
3,223.0333413292669
4,124.55813903353587
5,75.48262243089653
6,208.9767419488519
7,101.56072598249284
8,351.38371362042454
9,191.17271895518516
10,260.0529304826785
11,267.5563414244129
12,226.1475245964979
13,289.6296594986802
14,351.6844696604609
15,258.6973109207617
16,378.23494148496934
17,188.26165197763186
18,157.3720942248416
19,243.4608228179447
20,186.99531916875694
21,287.8057094170737
22,276.6025715034903
23,227.40205759577336
24,154.36272974688774
25,243.74559697044833
26,246.5396263422364
27,277.0005161898687
28,164.87711092350935
29,288.11824328609856
30,199.19766982217834
31,244.9763745664785
32,360.05169277777156
33,170.79084378619456
34,166.50443133646044
35,220.69873985693243
36,310.8842250035046
37,179.53109648295734
38,157.6566791749542
39,240.17748503596704
40,240.7211290260086
41,245.5897648640704
42,249.96937173652745
43,153.24647060566974
44,406.6126835321386
45,228.77155425749527
46,164.85332895772947
47,271.8458955607425
